,episode,shot,caption
60,5531550228324592939.mp4,61,a woman is holding a bouquet of flowers
61,5531550228324592939.mp4,62,a man is talking to a woman and she is smiling
62,5531550228324592939.mp4,63,a man is talking to a woman and she is smiling
63,5531550228324592939.mp4,64,a man and woman are walking down a hallway
64,5531550228324592939.mp4,65,a man is walking down a street and then he stops
65,5531550228324592939.mp4,66,a man is walking in a crowd with a group of people
66,5531550228324592939.mp4,67,a woman is dancing in front of a window
67,5531550228324592939.mp4,68,a man is walking and smiling at a woman
68,5531550228324592939.mp4,69,a woman is talking to a man and he is smiling
69,5531550228324592939.mp4,70,a woman is walking down a hallway and talking
70,5531550228324592939.mp4,71,a woman is kissing a man on the cheek
71,5531550228324592939.mp4,72,a woman is talking to a man in a suit
72,5531550228324592939.mp4,73,a man is walking down a hallway and then stops
73,5531550228324592939.mp4,74,a woman is talking to a man and he is smiling
74,5531550228324592939.mp4,75,a woman is walking down a hallway with a man
75,5531550228324592939.mp4,76,a woman is talking to a man and he is smiling
76,5531550228324592939.mp4,77,a woman is talking to a man and he is smiling
77,5531550228324592939.mp4,78,a woman is holding a baby and smiling
78,5531550228324592939.mp4,79,a man is walking and smiling at someone
79,5531550228324592939.mp4,80,a woman is talking to a man and he is smiling
80,5531550228324592939.mp4,81,a woman is walking down a hallway with a man
81,5531550228324592939.mp4,82,a woman is talking to a man and he is smiling
82,5531550228324592939.mp4,83,a woman is walking down a hallway and smiling
83,5531550228324592939.mp4,84,a woman is talking to a man and he is smiling
84,5531550228324592939.mp4,85,a woman is walking and smiling at a man
85,5531550228324592939.mp4,86,a woman is walking down a street and talking to a man
86,5531550228324592939.mp4,87,a woman is smiling and talking to a man
87,5531550228324592939.mp4,88,a woman is talking to a man and he is smiling
88,5531550228324592939.mp4,89,a woman is walking and smiling at someone
89,5531550228324592939.mp4,90,a woman is talking to a man and he is smiling
90,5531550228324592939.mp4,91,a woman is talking to a man and he is smiling
91,5531550228324592939.mp4,92,a woman is holding a baby and a man is watching
92,5531550228324592939.mp4,93,a woman is talking to a man and smiling
93,5531550228324592939.mp4,94,a woman holding a baby in a pink shirt
94,5531550228324592939.mp4,95,a woman is talking to a man and he is smiling
95,5531550228324592939.mp4,96,a man is sitting in a room and talking
96,5531550228324592939.mp4,97,a woman is sitting on a bed and smiling
97,5531550228324592939.mp4,98,a woman is sitting on a couch and smiling
98,5531550228324592939.mp4,99,a man is kissing a woman on the cheek
99,5531550228324592939.mp4,100,a man is sitting in a bed and talking
100,5531550228324592939.mp4,101,a woman is smiling and then she smiles
101,5531550228324592939.mp4,102,a man is sitting on a bed and talking
102,5531550228324592939.mp4,103,a woman is smiling and laughing while talking
103,5531550228324592939.mp4,104,a man is sitting on a bed and talking
104,5531550228324592939.mp4,105,a young man is sitting on a bed and smiling
105,5531550228324592939.mp4,106,a man is sitting on a bed and talking
106,5531550228324592939.mp4,107,a young man is sitting on a bed and smiling
107,5531550228324592939.mp4,108,a woman is smiling and then she smiles
108,5531550228324592939.mp4,109,a woman laying on a bed with a stuffed animal
109,5531550228324592939.mp4,110,a man is smiling and then he looks away
110,5531550228324592939.mp4,111,a man is sitting on a bed and talking
111,5531550228324592939.mp4,112,a young man is sitting on a bed and smiling
112,5531550228324592939.mp4,113,a man is sitting on a bed and talking
113,5531550228324592939.mp4,114,a young man is smiling and laughing
114,5531550228324592939.mp4,115,a woman sitting on a bed with a stuffed animal
115,5531550228324592939.mp4,116,a man is sitting on a bed and talking
116,5531550228324592939.mp4,117,a man is looking at a woman and she is looking at him
117,5531550228324592939.mp4,118,a man is sitting on a bed and talking
118,5531550228324592939.mp4,119,a woman is smiling and then she smiles
119,5531550228324592939.mp4,120,a man is sitting on a bed and talking
120,5531550228324592939.mp4,121,a man is riding a skateboard and doing a jump
121,5531550228324592939.mp4,122,a woman is talking to a man and he is smiling
122,5531550228324592939.mp4,123,a man is smiling and talking to a woman
123,5531550228324592939.mp4,124,a man is talking and smiling while wearing a white shirt
124,5531550228324592939.mp4,125,a man is talking to a woman and she is smiling
125,5531550228324592939.mp4,126,a woman is talking and smiling and laughing
126,5531550228324592939.mp4,127,a man is talking to a woman and she is smiling
127,5531550228324592939.mp4,128,a woman is talking and smiling and laughing
128,5531550228324592939.mp4,129,a man is talking to a woman and she is smiling
129,5531550228324592939.mp4,130,a woman is talking and smiling at someone
130,5531550228324592939.mp4,131,a man is talking to a woman and she is smiling
131,5531550228324592939.mp4,132,a man is talking and smiling while wearing a white shirt
132,5531550228324592939.mp4,133,a man is talking to a woman and she is smiling
133,5531550228324592939.mp4,134,a man is talking and smiling while wearing a hat
134,5531550228324592939.mp4,135,a man is riding a skateboard and then falls
135,5531550228324592939.mp4,136,a woman is looking at something and smiling
136,5531550228324592939.mp4,137,a man is talking to a woman and she is smiling
137,5531550228324592939.mp4,138,a man is looking at something and then he looks away
138,5531550228324592939.mp4,139,a man in a green jacket is dancing
139,5531550228324592939.mp4,140,a woman is sitting on a bed and smiling
140,5531550228324592939.mp4,141,a man is standing in a room with a green plant
141,5531550228324592939.mp4,142,a woman is holding a baby and smiling
142,5531550228324592939.mp4,143,a man standing in a kitchen holding a blender
143,5531550228324592939.mp4,144,a man is holding a box and then <unk>
144,5531550228324592939.mp4,145,a man in a green shirt is standing in a kitchen
145,5531550228324592939.mp4,146,a woman is talking to a man and he is smiling
146,5531550228324592939.mp4,147,a man is looking at a woman and then he looks away
147,5531550228324592939.mp4,148,a man is drinking from a glass while another man looks on
148,5531550228324592939.mp4,149,a man is kissing a woman s hand
149,5531550228324592939.mp4,150,a woman is drinking from a glass
150,5531550228324592939.mp4,151,a man is talking to a woman and she is smiling
151,5531550228324592939.mp4,152,a woman is talking to a man and he is smiling
152,5531550228324592939.mp4,153,a man is sitting in a chair and smiling
153,5531550228324592939.mp4,154,a woman is looking at a man and then he looks away
154,5531550228324592939.mp4,155,a woman is talking to a man and he looks away
155,5531550228324592939.mp4,156,a man is dancing in a kitchen
156,5531550228324592939.mp4,157,a man is kissing a woman on the cheek
157,5531550228324592939.mp4,158,a man is talking to a woman and she is smiling
158,5531550228324592939.mp4,159,a man is looking at a woman and then he looks away
159,5531550228324592939.mp4,160,a man is talking to a woman and she is smiling
160,5531550228324592939.mp4,161,a glass of wine is sitting on a shelf
161,5531550228324592939.mp4,162,a man is playing a piano and singing
162,5531550228324592939.mp4,163,a man is kissing a woman on her cheek
163,5531550228324592939.mp4,164,a man is talking to a woman and she is smiling
164,5531550228324592939.mp4,165,a man is talking to a woman and she is smiling
165,5531550228324592939.mp4,166,a man is talking to a woman and she is smiling
166,5531550228324592939.mp4,167,a man is talking to a woman while she is talking to her
167,5531550228324592939.mp4,168,a man is sitting at a table with a woman
168,5531550228324592939.mp4,169,a man is talking to a woman and she is smiling
169,5531550228324592939.mp4,170,a man is talking to a woman while she is talking to her
170,5531550228324592939.mp4,171,a man is talking to a woman and she is smiling
171,5531550228324592939.mp4,172,a man is talking to a woman while she is looking at her
172,5531550228324592939.mp4,173,a man is talking to a woman and she is smiling
173,5531550228324592939.mp4,174,a man is cutting a cake with a sword
174,5531550228324592939.mp4,175,a woman is drinking wine out of a wine glass
175,5531550228324592939.mp4,176,a person is pouring a drink into a cup
176,5531550228324592939.mp4,177,a person is pouring a drink into a glass
177,5531550228324592939.mp4,178,a man in a kitchen preparing food in a kitchen
178,5531550228324592939.mp4,179,a man in a kitchen with a woman in a hat
179,5531550228324592939.mp4,180,a man and woman are dancing in a living room
180,5531550228324592939.mp4,181,a man is dancing in a living room
181,5531550228324592939.mp4,182,a man in a kitchen with a woman in a hat
182,5531550228324592939.mp4,183,a man is dancing in a living room
183,5531550228324592939.mp4,184,a woman with long hair is smiling and talking
184,5531550228324592939.mp4,185,a man is looking at a woman and then she falls down
185,5531550228324592939.mp4,186,a woman with long hair is smiling and talking
186,5531550228324592939.mp4,187,a man is sitting on a couch and another man is dancing
187,5531550228324592939.mp4,188,a man is dancing in a room with other people
188,5531550228324592939.mp4,189,a man is dancing in a room with a woman
189,5531550228324592939.mp4,190,a woman is talking to a man and he is smiling
190,5531550228324592939.mp4,191,a man and a woman are kissing in a bathroom
191,5531550228324592939.mp4,192,a woman is talking to a man and he is smiling
192,5531550228324592939.mp4,193,a man in a kitchen with a woman in the foreground
193,5531550228324592939.mp4,194,a man and a woman are talking to each other
194,5531550228324592939.mp4,195,a woman is holding a child and a man is watching
195,5531550228324592939.mp4,196,a man is dancing in front of a woman
196,5531550228324592939.mp4,197,a man is holding a plate with a pizza
197,5531550228324592939.mp4,198,a man is talking to a woman and she is smiling
198,5531550228324592939.mp4,199,a man is dancing in front of a group of people
199,5531550228324592939.mp4,200,a man is talking to a woman and she is smiling
200,5531550228324592939.mp4,201,a man is putting his hand on another man s shoulder
201,5531550228324592939.mp4,202,a man cutting a cake with a knife
202,5531550228324592939.mp4,203,a man is smiling and then he looks away
203,5531550228324592939.mp4,204,a man is blowing a kiss to a woman
204,5531550228324592939.mp4,205,a man is talking to a woman and she is smiling
205,5531550228324592939.mp4,206,a woman is sitting at a table with a man and a woman
206,5531550228324592939.mp4,207,a man is dancing in a room with a lot of people
207,5531550228324592939.mp4,208,a woman is dancing and singing in a room
208,5531550228324592939.mp4,209,a woman is cutting a cake with a knife
209,5531550228324592939.mp4,210,a woman is talking to a man and he is smiling
210,5531550228324592939.mp4,211,a man is singing and dancing in front of a microphone
211,5531550228324592939.mp4,212,a woman is talking to a man and he is talking to her
212,5531550228324592939.mp4,213,a woman is talking to a man and he is smiling
213,5531550228324592939.mp4,214,a man is talking to a woman and she is smiling
214,5531550228324592939.mp4,215,a man is holding a microphone and talking to another man
215,5531550228324592939.mp4,216,a man and a woman are sitting together and talking
216,5531550228324592939.mp4,217,a man is talking to a woman and she is smiling
217,5531550228324592939.mp4,218,a man and woman are standing in front of a cake
218,5531550228324592939.mp4,219,a man is talking to a woman and she is smiling
219,5531550228324592939.mp4,220,a woman is talking to a man and he is smiling
220,5531550228324592939.mp4,221,a man is talking to a woman and she is smiling
221,5531550228324592939.mp4,222,a woman is talking to a man and he is smiling
222,5531550228324592939.mp4,223,a man is talking to another man and smiling
223,5531550228324592939.mp4,224,a woman is dancing with a man
224,5531550228324592939.mp4,225,a man is looking at a woman and she is talking
225,5531550228324592939.mp4,226,a woman is smiling and making a face
226,5531550228324592939.mp4,227,a man is looking at something and then he looks away
227,5531550228324592939.mp4,228,a man is sitting in a chair and another man is dancing
228,5531550228324592939.mp4,229,a man is holding a woman s face and kissing her
229,5531550228324592939.mp4,230,a man is holding a woman and kissing her
230,5531550228324592939.mp4,231,a man is holding a woman s face and kissing her
231,5531550228324592939.mp4,232,a man is dancing in front of a group of people
232,5531550228324592939.mp4,233,a man is dancing in a room with a lot of other people
233,5531550228324592939.mp4,234,a man is holding a glass of wine
234,5531550228324592939.mp4,235,a man is dancing in front of a woman
235,5531550228324592939.mp4,236,a man is dancing in a room with a lot of other people
236,5531550228324592939.mp4,237,a man is walking in a room with a woman
237,5531550228324592939.mp4,238,a man is dancing in a kitchen
238,5531550228324592939.mp4,239,a woman is drinking from a glass
239,5531550228324592939.mp4,240,a man is sitting on a couch and smiling
240,5531550228324592939.mp4,241,a man is talking to a woman and she is smiling
241,5531550228324592939.mp4,242,a woman is sitting on a couch and drinking wine
242,5531550228324592939.mp4,243,a man is talking to a woman and she is smiling
243,5531550228324592939.mp4,244,a man is dancing in front of a group of people
244,5531550228324592939.mp4,245,a woman is sitting on a couch and smiling
245,5531550228324592939.mp4,246,a woman is talking to a man and he is smiling
246,5531550228324592939.mp4,247,a woman is dancing in front of a crowd
247,5531550228324592939.mp4,248,a woman is holding a glass of wine
248,5531550228324592939.mp4,249,a woman is holding a baby and talking to a man
249,5531550228324592939.mp4,250,a woman is talking to a man and he is smiling
250,5531550228324592939.mp4,251,a woman is kissing a man on the cheek
251,5531550228324592939.mp4,252,a woman is talking to a man and he is smiling
252,5531550228324592939.mp4,253,a woman is kissing a man on the cheek
253,5531550228324592939.mp4,254,a woman is talking to a man and he is smiling
254,5531550228324592939.mp4,255,a woman is dancing with a man
255,5531550228324592939.mp4,256,a woman is sitting on a couch and smiling
256,5531550228324592939.mp4,257,a woman is talking to a man and he is smiling
257,5531550228324592939.mp4,258,a woman is talking to a man and he is smiling
258,5531550228324592939.mp4,259,a woman is wearing a black dress and a bow tie
259,5531550228324592939.mp4,260,a woman is talking to a man and he is smiling
260,5531550228324592939.mp4,261,a woman is sitting on a couch and smiling
261,5531550228324592939.mp4,262,a woman is talking to a man and he is smiling
262,5531550228324592939.mp4,263,a man is dancing with a woman
263,5531550228324592939.mp4,264,a woman is sitting on a couch and smiling
264,5531550228324592939.mp4,265,a woman is sitting on a couch and smiling
265,5531550228324592939.mp4,266,a woman is sitting on a couch and smiling
266,5531550228324592939.mp4,267,a woman is dancing in front of a man
267,5531550228324592939.mp4,268,a man is talking to a woman and she is smiling
268,5531550228324592939.mp4,269,a woman is talking to a man and he is smiling
269,5531550228324592939.mp4,270,a woman is talking to a man and he is smiling
270,5531550228324592939.mp4,271,a woman is dancing in front of a group of people
271,5531550228324592939.mp4,272,a woman is talking to a man and he is talking to him
272,5531550228324592939.mp4,273,a man is dancing in front of a crowd
273,5531550228324592939.mp4,274,a woman is talking to a man and he is smiling
274,5531550228324592939.mp4,275,a woman is talking to a man and he is smiling
275,5531550228324592939.mp4,276,a man and a woman are talking to each other
276,5531550228324592939.mp4,277,a man is talking to a woman and she is smiling
277,5531550228324592939.mp4,278,a woman is talking to a man and he is smiling
278,5531550228324592939.mp4,279,a woman is dancing and singing in a room
279,5531550228324592939.mp4,280,a man is kissing a woman on the forehead
280,5531550228324592939.mp4,281,a man is dancing in front of a woman
281,5531550228324592939.mp4,282,a woman is talking to a man and he looks away
282,5531550228324592939.mp4,283,a woman is holding a microphone and talking to a man
283,5531550228324592939.mp4,284,a man and a woman are kissing in a hallway
284,5531550228324592939.mp4,285,a man and a woman are talking to each other
285,5531550228324592939.mp4,286,a man and a woman are talking to each other
286,5531550228324592939.mp4,287,a woman is sitting on a couch and talking to a man
287,5531550228324592939.mp4,288,a woman is dancing in front of a group of people
288,5531550228324592939.mp4,289,a man is talking to a woman and she is smiling
289,5531550228324592939.mp4,290,a woman is talking to a man and he is smiling
290,5531550228324592939.mp4,291,a woman is dancing with a man
291,5531550228324592939.mp4,292,a woman is talking to a man and he is smiling
292,5531550228324592939.mp4,293,a woman is holding a microphone and talking to another woman
293,5531550228324592939.mp4,294,a woman is dancing in front of a group of people
294,5531550228324592939.mp4,295,a woman is sitting on a couch and talking to a man
295,5531550228324592939.mp4,296,a woman is kissing a man on the cheek
296,5531550228324592939.mp4,297,a man is dancing in a room with a lot of people
297,5531550228324592939.mp4,298,a man and a woman are sitting on a couch and the man is putting his arm around the woman
298,5531550228324592939.mp4,299,a man is dancing in front of a group of people
299,5531550228324592939.mp4,300,a man and a woman are dancing in a living room
300,5531550228324592939.mp4,301,a man is dancing in front of a group of people
301,5531550228324592939.mp4,302,a man and a woman are sitting at a table and talking
302,5531550228324592939.mp4,303,a man is talking to another man and smiling
303,5531550228324592939.mp4,304,a woman with long hair is smiling and talking
304,5531550228324592939.mp4,305,a man is kissing a woman on the cheek
305,5531550228324592939.mp4,306,a man is kissing a woman on her cheek
306,5531550228324592939.mp4,307,a woman with long hair is smiling and talking
307,5531550228324592939.mp4,308,a man is kissing a woman on the cheek
308,5531550228324592939.mp4,309,a man is sitting on a couch and hugging another man
309,5531550228324592939.mp4,310,a man is kissing a woman on the cheek
310,5531550228324592939.mp4,311,a man is kissing a woman on the cheek
311,5531550228324592939.mp4,312,a man is talking to a woman and she is smiling
312,5531550228324592939.mp4,313,a man is talking to a woman and she is smiling
313,5531550228324592939.mp4,314,a woman is kissing a man on the cheek
314,5531550228324592939.mp4,315,a man is talking to a woman and she is smiling
315,5531550228324592939.mp4,316,a man is kissing a woman on the cheek
316,5531550228324592939.mp4,317,a man is kissing a woman on the cheek
317,5531550228324592939.mp4,318,a man is dancing in a room with a woman
318,5531550228324592939.mp4,319,a man is walking in a room with a woman
319,5531550228324592939.mp4,320,a woman is sitting on a couch and talking to a man
320,5531550228324592939.mp4,321,a man is looking at something and then looks away
321,5531550228324592939.mp4,322,a man is dancing in front of a group of people
322,5531550228324592939.mp4,323,a woman is talking to a man and he is smiling
323,5531550228324592939.mp4,324,a man is talking to a woman and she is smiling
324,5531550228324592939.mp4,325,a man is talking to a woman and she is smiling
325,5531550228324592939.mp4,326,a man is kissing a woman on the forehead
326,5531550228324592939.mp4,327,a woman is talking to a man and he is smiling
327,5531550228324592939.mp4,328,a woman is talking to a man and he is smiling
328,5531550228324592939.mp4,329,a woman is talking to a man and he is smiling
329,5531550228324592939.mp4,330,a man is talking to a woman and she is smiling
330,5531550228324592939.mp4,331,a man is drinking from a glass
331,5531550228324592939.mp4,332,a man is looking at a woman and then she looks away
332,5531550228324592939.mp4,333,a man is looking at something and smiling
333,5531550228324592939.mp4,334,a man is taking a picture of a woman
334,5531550228324592939.mp4,335,a man is dancing in front of a mirror
335,5531550228324592939.mp4,336,a man is taking photos of a woman
336,5531550228324592939.mp4,337,a man is dancing in a living room
337,5531550228324592939.mp4,338,a man is talking to a woman and she is smiling
338,5531550228324592939.mp4,339,a man is dancing in front of a group of people
339,5531550228324592939.mp4,340,a man is walking through a room with a lot of graffiti
340,5531550228324592939.mp4,341,a man is putting a bucket into a bowl
341,5531550228324592939.mp4,342,a man is walking down a hallway with a woman
342,5531550228324592939.mp4,343,a man is jumping in the air and falls
343,5531550228324592939.mp4,344,a man is standing in front of a painting
344,5531550228324592939.mp4,345,a man is talking to another man who is sitting down
345,5531550228324592939.mp4,346,a man is looking at something and then looks away
346,5531550228324592939.mp4,347,a woman is dancing in front of a crowd
347,5531550228324592939.mp4,348,a woman is dancing with a man
348,5531550228324592939.mp4,349,a woman is dancing with a man
349,5531550228324592939.mp4,350,a woman is drinking from a glass
350,5531550228324592939.mp4,351,a woman is talking to a man and he is smiling
351,5531550228324592939.mp4,352,a woman is holding a cell phone while sitting in a chair
352,5531550228324592939.mp4,353,a man is talking to a woman and she is smiling
353,5531550228324592939.mp4,354,a man is kissing a woman on the forehead
354,5531550228324592939.mp4,355,a woman is kissing a man on his cheek
355,5531550228324592939.mp4,356,a man is looking at a woman and then he looks at him
356,5531550228324592939.mp4,357,a man is talking to a woman and she is smiling
357,5531550228324592939.mp4,358,a woman is sitting at a table and smiling
358,5531550228324592939.mp4,359,a woman is sitting in a chair and drinking from a bottle
359,5531550228324592939.mp4,360,a woman is sitting at a desk and talking to a man
360,5531550228324592939.mp4,361,a woman is sitting at a table and smiling
361,5531550228324592939.mp4,362,a woman is talking to a man and he is smiling
362,5531550228324592939.mp4,363,a woman is talking to a man and he is smiling
363,5531550228324592939.mp4,364,a woman is talking to a man and he is smiling
364,5531550228324592939.mp4,365,a woman is looking at a man and then he looks away
365,5531550228324592939.mp4,366,a man and a woman are talking and smiling
366,5531550228324592939.mp4,367,a woman is talking to a man and he is smiling
367,5531550228324592939.mp4,368,a man is jumping on a bed and then falls
368,5531550228324592939.mp4,369,a woman is talking to a man and he is smiling
369,5531550228324592939.mp4,370,a woman is singing and dancing in front of a crowd
370,5531550228324592939.mp4,371,a woman is singing and dancing with a man
371,5531550228324592939.mp4,372,a man is singing and dancing with other people
372,5531550228324592939.mp4,373,a woman is talking to a man and he is smiling
373,5531550228324592939.mp4,374,a woman is talking to a man and he is smiling
374,5531550228324592939.mp4,375,a woman is smiling and laughing at something
375,5531550228324592939.mp4,376,a woman is dancing in front of a group of people
376,5531550228324592939.mp4,377,a woman is sitting on a couch and smiling
377,5531550228324592939.mp4,378,a woman is sitting on a couch and smiling
378,5531550228324592939.mp4,379,a man is playing a guitar while a woman is playing a guitar
379,5531550228324592939.mp4,380,a man is talking on a cell phone while looking at his phone
380,5531550228324592939.mp4,381,a man is talking on a cell phone while looking at his phone
381,5531550228324592939.mp4,382,a man is dancing with a woman in a crowd
382,5531550228324592939.mp4,383,a woman is dancing in front of a group of people
383,5531550228324592939.mp4,384,a woman is talking to a man and he is talking to him
384,5531550228324592939.mp4,385,a man is looking at something and then looks up
385,5531550228324592939.mp4,386,a man and a woman are sitting together and talking
386,5531550228324592939.mp4,387,a woman is dancing and singing with a microphone
387,5531550228324592939.mp4,388,a group of people standing in a room with a clock
388,5531550228324592939.mp4,389,a man is dancing with a woman in a dress
389,5531550228324592939.mp4,390,a man is kissing a woman on the cheek
390,5531550228324592939.mp4,391,a man is looking at a woman and smiling
391,5531550228324592939.mp4,392,a woman is smiling and making a face
392,5531550228324592939.mp4,393,a man is looking at a woman and smiling
393,5531550228324592939.mp4,394,a woman is dancing with a man
394,5531550228324592939.mp4,395,a woman is holding a microphone and singing
395,5531550228324592939.mp4,396,a man is talking to a woman and she is smiling
396,5531550228324592939.mp4,397,a woman is looking at a man and then he looks away
397,5531550228324592939.mp4,398,a woman is talking to a man and he is talking to her
398,5531550228324592939.mp4,399,a woman is talking to a man and he is smiling
399,5531550228324592939.mp4,400,a man is talking to a woman and she is smiling
400,5531550228324592939.mp4,401,a woman is kissing a man on the cheek
401,5531550228324592939.mp4,402,a woman is talking to a man and he is talking to her
402,5531550228324592939.mp4,403,a man and a woman are talking and smiling
403,5531550228324592939.mp4,404,a man and a woman are talking and smiling
404,5531550228324592939.mp4,405,a man is sitting on a couch and is dancing
405,5531550228324592939.mp4,406,a man is sitting on a couch and smiling
406,5531550228324592939.mp4,407,a man is talking on a cell phone while sitting in a car
407,5531550228324592939.mp4,408,a bottle of wine and a glass of wine
408,5531550228324592939.mp4,409,a group of people are dancing in a club
409,5531550228324592939.mp4,410,a man is looking at something and then looks away
410,5531550228324592939.mp4,411,a woman is talking to a man and he is smiling
411,5531550228324592939.mp4,412,a man is dancing with a woman in a crowd
412,5531550228324592939.mp4,413,a group of people are dancing in a club
413,5531550228324592939.mp4,414,a man is walking and smiling at a woman
414,5531550228324592939.mp4,415,a man is dancing in front of a woman
415,5531550228324592939.mp4,416,a man is walking through a door and is <unk> by another man
416,5531550228324592939.mp4,417,a man is walking through a door and is <unk> by another man
417,5531550228324592939.mp4,418,a man is walking and smiling at something
418,5531550228324592939.mp4,419,a man is walking through a door and then he stops
419,5531550228324592939.mp4,420,a man is talking to a woman and she is smiling
420,5531550228324592939.mp4,421,a man is talking to a woman and she is smiling
421,5531550228324592939.mp4,422,a man and a woman are talking to each other
422,5531550228324592939.mp4,423,a man is looking at a woman and then he looks away
423,5531550228324592939.mp4,424,a man and a woman are talking to each other
424,5531550228324592939.mp4,425,a man is talking to a woman and she is smiling
425,5531550228324592939.mp4,426,a man and a woman are standing in a hallway
426,5531550228324592939.mp4,427,a man is walking in a room with a woman
427,5531550228324592939.mp4,428,a man is holding a baby and a woman is holding a baby
428,5531550228324592939.mp4,429,a man is looking at a woman and smiling
429,5531550228324592939.mp4,430,a man is walking in a room with a lot of people
430,5531550228324592939.mp4,431,a man is putting his hand on his head
431,5531550228324592939.mp4,432,a man is looking at something and then looks away
432,5531550228324592939.mp4,433,a man is looking at something and then looks away
433,5531550228324592939.mp4,434,a man is looking at something and then he looks away
434,5531550228324592939.mp4,435,a group of people are sitting in a room and drinking
435,5531550228324592939.mp4,436,a man is pouring wine into a glass
436,5531550228324592939.mp4,437,a man and a woman are sitting at a table and drinking wine
437,5531550228324592939.mp4,438,a woman is drinking from a glass
438,5531550228324592939.mp4,439,a group of people sitting around a table with wine glasses
439,5531550228324592939.mp4,440,a man is holding a woman and blowing a kiss
440,5531550228324592939.mp4,441,a man and a woman sitting at a table with a wine glass
441,5531550228324592939.mp4,442,a man is pouring wine into a glass for another man
442,5531550228324592939.mp4,443,a group of people sitting at a table with wine glasses
443,5531550228324592939.mp4,444,a woman is holding a glass of wine
444,5531550228324592939.mp4,445,a man and a woman sitting at a table with wine glasses
445,5531550228324592939.mp4,446,a man and a woman are kissing in a room
446,5531550228324592939.mp4,447,a man is talking to a woman and she is smiling
447,5531550228324592939.mp4,448,a woman is talking to a man and he is smiling
